t	SzSz_t_Avg	SzSz_t_Err
104840	0.0010744646877867462	NaN
112260	0.001053274054536239	NaN
120220	0.0006607232144845156	NaN
128720	0.0007474613221385756	NaN
137840	0.0005901445525118267	NaN
147600	0.00027084771223254465	NaN
158040	0.0003510479619913138	NaN
169240	0.0005891609600885549	NaN
181220	0.0005405865087108566	NaN
194040	0.00035033795773183453	NaN
207780	8.012483379662767e-5	NaN
222500	-0.00013627205318334052	NaN
238240	-0.0004702328268672714	NaN
255100	-0.000275733973668277	NaN
273180	-0.0001892396487238311	NaN
292520	-8.868418992364664e-5	NaN
313220	0.00017672539275177078	NaN
335400	0.0003939531899923529	NaN
359140	0.000630908445927024	NaN
384560	0.0004576493639396493	NaN
411800	0.0002923280699192738	NaN
440940	0.00031190305322908627	NaN
472160	0.0003840009907806977	NaN
505600	0.0001138776541961559	NaN
541380	-0.00016438973127158457	NaN
579720	-0.00031304801980407105	NaN
620760	-2.8765656918891788e-5	NaN
664700	-0.00021019142394995414	NaN
711760	5.727672842217716e-5	NaN
762160	0.00018498913165848006	NaN
816120	0.0003253309058916161	NaN
