t	Om1n0m1n0_Avg	Om1n0m1n0_Err
85391	4.8196520133658716e-5	NaN
91436	-5.0967012635461106e-5	NaN
97910	0.00014184024943653117	NaN
104841	-0.00013945765757811257	NaN
112264	-0.00022768245693632894	NaN
120212	-0.00025161214529029197	NaN
128722	-0.0003148122491211658	NaN
137836	-0.00038413280519239423	NaN
147594	-0.0003240908217719829	NaN
158043	-0.0002574360951655974	NaN
169232	-0.00023268632898543196	NaN
181214	-0.00016133753338781753	NaN
194043	-0.00013575730480919201	NaN
207781	-4.209490357048873e-5	NaN
222491	-0.0002482153571791157	NaN
238243	0.00031563666173606286	NaN
255110	0.00015820247505970997	NaN
273171	0.00012601452903854282	NaN
292511	-0.0002632525872619529	NaN
313220	-0.00017795518298346913	NaN
335395	-0.0001249249858666368	NaN
359140	-6.858010297022821e-5	NaN
384566	-0.00031711575776194323	NaN
411792	-0.0004250499988671108	NaN
440946	-0.0003881684834352306	NaN
472164	-0.0001667202721997718	NaN
505592	-0.00011821150213858767	NaN
541386	-9.716519681535196e-5	NaN
579715	-4.843646556876302e-5	NaN
620757	-0.0001780303356108126	NaN
664705	-2.5684233765060904e-5	NaN
711765	-1.2108695600726582e-5	NaN
762156	-5.746024404190697e-5	NaN
816114	-5.467420629293174e-5	NaN
