t	Om1n1m1n1_Avg	Om1n1m1n1_Err
1	0.038294366217060935	NaN
2	0.02261412296807691	NaN
3	0.015912395832432633	NaN
4	0.012086467601820083	NaN
5	0.009634987692443892	NaN
6	0.00798505555680308	NaN
7	0.0067980478736607355	NaN
8	0.005904456851139973	NaN
9	0.0052405069417463535	NaN
10	0.004701091484847056	NaN
11	0.004264722141065852	NaN
12	0.0039002655710433376	NaN
13	0.0035947801141421112	NaN
14	0.0033773141097378084	NaN
15	0.0031654586528348863	NaN
17	0.0027802877390288513	NaN
18	0.002641320603376719	NaN
19	0.00250687012835666	NaN
20	0.0023964907845788544	NaN
22	0.002195795400154743	NaN
23	0.002108799377629679	NaN
25	0.0019318228800824025	NaN
27	0.0018070897219092039	NaN
29	0.0017181843556013099	NaN
31	0.00160379398930105	NaN
33	0.0015302791523759685	NaN
35	0.001436009899200931	NaN
38	0.001351180207238109	NaN
40	0.0012709709540576763	NaN
43	0.0011955862077327115	NaN
46	0.0011663608957895241	NaN
49	0.001075084452600454	NaN
53	0.0010266392674937314	NaN
57	0.0009728163086376099	NaN
61	0.0009027689516417151	NaN
65	0.0008655565402846677	NaN
69	0.0008265469026845079	NaN
74	0.0007916840344269344	NaN
80	0.0007432984648986646	NaN
85	0.0006720072935070473	NaN
91	0.0006731828189833061	NaN
98	0.0006075817744285034	NaN
105	0.0005802190511312103	NaN
112	0.0005611246672017345	NaN
120	0.0005249598626140758	NaN
129	0.00047813456488188244	NaN
138	0.00047238651151793043	NaN
147	0.00045757121378638826	NaN
158	0.0004315878122351166	NaN
169	0.0004202638088272592	NaN
181	0.0003637282716309892	NaN
194	0.00035456450377858995	NaN
208	0.00033276579028398284	NaN
222	0.00031304990490513274	NaN
238	0.00030069637261115334	NaN
255	0.00030548457342109703	NaN
273	0.00025898010920055725	NaN
292	0.0002578141111931609	NaN
313	0.0002338499006502015	NaN
335	0.00025647145504785474	NaN
359	0.0002329025706626492	NaN
384	0.0002131671706091312	NaN
411	0.0002068576079752235	NaN
441	0.0001813370590533353	NaN
472	0.0001801449038660169	NaN
505	0.00015218663555284506	NaN
541	0.00014310901955617156	NaN
579	0.0001535134848455605	NaN
620	0.00013290745309005314	NaN
664	0.00016075724062915298	NaN
711	0.00014756346745282284	NaN
761	0.00012339637302211104	NaN
815	0.00011054385402162192	NaN
873	7.06994168072142e-5	NaN
935	6.86128983059045e-5	NaN
1001	8.802741653402696e-5	NaN
1072	8.476864975467263e-5	NaN
1148	7.063391090480348e-5	NaN
1229	9.116387822294403e-5	NaN
1316	7.529230394244524e-5	NaN
1409	6.977683887866154e-5	NaN
1509	5.7853596153574494e-5	NaN
1616	6.717598762603222e-5	NaN
1730	4.364655148385299e-5	NaN
1853	4.2097147674072244e-5	NaN
1984	6.306629285854348e-5	NaN
2124	7.713917605552123e-5	NaN
2275	3.180201519492609e-5	NaN
2436	6.266711291783716e-5	NaN
2608	6.395017198652236e-5	NaN
2793	2.048384712716178e-5	NaN
2991	5.734676372617237e-5	NaN
3202	5.9428323829512075e-5	NaN
3429	2.6010840375317867e-5	NaN
3672	2.7340386341251355e-5	NaN
3932	1.9863811367100415e-5	NaN
4210	2.445589019764438e-5	NaN
4508	3.334403419427007e-5	NaN
4827	1.7029016109566808e-5	NaN
5169	3.1492502825455904e-6	NaN
5535	1.3103816512476107e-5	NaN
5927	-4.415316539621572e-6	NaN
6346	2.6487775240030542e-5	NaN
6796	4.338983627026616e-6	NaN
7277	-4.3403025033750264e-7	NaN
7792	3.3098729702280005e-5	NaN
8344	6.6386199797097145e-6	NaN
8934	1.040719248458083e-5	NaN
9567	2.6558321438233112e-6	NaN
10244	2.1405543365569935e-5	NaN
10970	-1.1878116048892606e-5	NaN
11746	1.4781250548524805e-5	NaN
12578	8.341599178292303e-6	NaN
13468	9.61417903600631e-6	NaN
14422	7.490624814109059e-6	NaN
15443	7.063114794272907e-6	NaN
16536	-6.173079215764099e-6	NaN
17707	-4.845197687099179e-6	NaN
18961	1.6017638370703635e-5	NaN
20303	2.092530318870134e-5	NaN
21740	1.0380401363682679e-6	NaN
23279	5.596726788577311e-6	NaN
24928	-4.842043739808344e-6	NaN
26692	-2.4007077670633314e-5	NaN
28582	-1.1864795444474496e-5	NaN
30606	-1.1480466028189473e-5	NaN
32772	7.127795045594465e-6	NaN
35093	-1.4152335716527409e-6	NaN
37577	1.900002355195718e-5	NaN
40237	1.537375933204771e-5	NaN
43086	1.2559083641831836e-5	NaN
46137	1.9211316235646925e-5	NaN
49403	1.3867781435229765e-5	NaN
52900	2.1987226091896295e-6	NaN
56646	1.105519496389512e-5	NaN
60656	1.340686808622843e-5	NaN
64950	1.0155280019449875e-5	NaN
69549	5.0215061624850343e-5	NaN
74472	1.9657404208762996e-5	NaN
79745	2.0519370559350658e-5	NaN
85391	3.24091370119961e-5	NaN
91436	7.150085192635103e-6	NaN
97910	4.656982400950971e-5	NaN
104841	4.574834067173211e-5	NaN
112264	1.025399979195929e-5	NaN
120212	4.787328612371189e-5	NaN
128722	2.3766710587964923e-5	NaN
137836	2.735285399221854e-6	NaN
147594	1.6501807377979072e-5	NaN
158043	2.1878443881052922e-5	NaN
169232	2.54611078803757e-6	NaN
181214	-3.21905500081654e-5	NaN
194043	-3.711990844754154e-5	NaN
207781	-5.054085494148042e-5	NaN
222491	-7.93106167644303e-5	NaN
238243	-5.362749671535688e-5	NaN
255110	-6.588771379800046e-5	NaN
273171	-6.442106195110597e-5	NaN
292511	-8.977796961725376e-5	NaN
313220	-5.7476450051906214e-5	NaN
335395	-6.582784798880165e-5	NaN
359140	-6.419483406209375e-5	NaN
384566	-8.504506732358655e-5	NaN
411792	-4.4482841764156844e-5	NaN
440946	-4.087702861644074e-5	NaN
472164	-6.51278069816047e-5	NaN
505592	-3.056615885476885e-5	NaN
541386	-4.559462561248839e-5	NaN
579715	-3.830296841370734e-5	NaN
620757	-5.953653163686193e-5	NaN
664705	-5.550823990976145e-5	NaN
711765	-1.2284741075625771e-5	NaN
762156	-4.2604736488630404e-5	NaN
816114	-6.042339133172092e-5	NaN
